Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
MI;;ESTOQUE;Leonardo ;FRX094NM220;FORMIX MULTIMASSAS ;;31983;Montagem ;KF342-07 (MASTER) - 13/03 - RNC - ENTREGUE;100% ENTREGUE - MAR;DB1802;ESTOQUE;;Finalizada ;;;OK;;;;3-fev;28-fev;;31-mar;;;
MI;;ESTOQUE;;MFX185NM220;MAXIFORM DUE 10.0 TECH MK ;;31952;Finalizada;COMPLETA;100% ENTREGUE - FEV;DB5390;ESTOQUE;;Finalizada ;;;OK;;;;3-fev;28-fev;;31-mar;;;
MI;;;;MFX166NM220;MAXIFORM BIG 6.0 MKR ;;28887;Montagem ;15805 (BOTECO) - 10/04, DA4038 (kit salsinha ), DB1566 (SINOTEC) - ENTREGUE, KF149-01 (BACHANITEC) - 18/03 , KF628-01 (BACHANITEC) - 20/03, NA3586 (SEW) - 28/03, DA7357, KF147, KF765-01 (BRALYX), PR0308 (Conjunto), DB3596 (verificar);100% ENTREGUE - FEV;DB3732;ESTOQUE;;Finalizada ;;;OK;;;;2-fev;20-mar;;31-mar;;;
MI;;ESTOQUE;Alvimar;MFX166NM220;MAXIFORM BIG 6.0 MKR;;32516;Montagem ;15805 (BOTECO) - 10/04, 20112 (ROFER) - ENTREGUE, DB1566 (SINOTEC) - ENTREGUE, DB3936 (MICROFUND) - ENTREGUE, KF149-01 (BACHANITEC) - 18/03, KF628-01 (BACHANITEC) - 05/03, DB3596 (verificar), KF147;100% ENTREGUE - MAR;DB3732;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;31-mar;;;
MI;SIM;BAR AERO CLUBE BAURU LTDA ;Romário;EPX190NM220;EMP MESA  (ESTEIRA P/ FARINHA GROSSA);;33624;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB6280;OP 33621 - 1/1;BRALYX;Montagem;;;OK;;;;27-fev;27-mar;;1-abr;;;S/ COBERTURA
ME;SIM;WE EQUIPOS REPOSIÇÃO;;MFX186CM220;DISPOSITIVO DE TEQUEÑOS;;32525;Montagem ;KF848-02 BRALYX SBC 02/04;100% ENTREGUE - FEV;DB5282;OP 32384 - 1/1 ;;Separada;;;OK;;;;27-fev;27-mar;;31-mar;;;
ME;;ESTOQUE;;MFX186CM220;DISPOSITIVO DE TEQUEÑOS;;32526;Montagem ;DB5282 (Painel), KF849 (BACHANITEC) - ENTREGUE;100% ENTREGUE - DEZ;DB5282;ESTOQUE;;Finalizada ;;;OK;;;;27-fev;27-mar;;31-mar;;;
ME;;ESTOQUE;Nelson ;MFX016CM220;SPINNING 400 (CE);;32536;Montagem;DA3257 (Painel);-;DA3257;OP 32389 - 1/1;;Aguardando;;DA8612;;;;DA9051 - ARO 30 / DA9052 - ARO 35;27-fev;27-mar;;31-mar;;;
MI;;QDELICIA SALGADOS E DOCES LTDA ;;DSX059NM220;DOSALYX;;32581;Montagem;COMPLETA;;DB3298;ESTOQUE;;Finalizada ;;;OK;;;DA5203+DA5204, DA4955 bloqueado - DA5825, DA6258, 2 UN DA3571, DA4532 ;27-fev;27-mar;;31-mar;;;
MI;;ESTOQUE;Leonardo ;DTX125NM220;DROP-TOP 400-450 PLUS NR12            ;;32595;Montagem;KF374 (BRALYX), DA2529, DA2531, DA2532, DB4550 (verificar) -KF381-02 (MASTER) - ENTREGUE;100% ENTREGUE - MAR;DB1440;ESTOQUE;;Finalizada ;;;OK;;;CM640: 32591;27-fev;27-mar;;31-mar;;;
