Chave,C2_PRODUTO,C2_XDESCP,C2_QUANT,C2_DATPRI,C2_DATPRF,D4_COD,D4_QTDEORI,Soma de D4_QUANT,D4_XQFALFI,D4_XQTRANS
,,,,,,25023           ,1,24,1,0
,,,,,,25024           ,1,4,1,0
,,,,,,25024           ,2,18,2,0
,,,,,,25024           ,2,26,3,1
,,,,,,25025           ,1,23,1,0
,,,,,,25027           ,1,6,1,0
,,,,,,25027           ,3,3,3,0
,,,,,,25028           ,1,6,1,0
,,,,,,25028           ,3,3,3,0
,,,,,,25029          ,1,6,1,0
,,,,,,25029           ,3,3,3,0
,,,,,,25030           ,1,6,1,0
,,,,,,25030           ,3,3,3,0
,,,,,,25031           ,1,7,1,0
,,,,,,25031           ,2,2,2,0
,,,,,,25031           ,3,3,3,0
,,,,,,25033          ,1,2,1,0
,,,,,,25033          ,2,6,2,0
,,,,,,25034           ,4,4,1,3
,,,,,,25034           ,4,156,4,0
,,,,,,25035          ,2,14,2,0
,,,,,,25035           ,6,6,6,0
,,,,,,25036          ,2,20,2,0
,,,,,,25036           ,6,6,6,0
,,,,,,25037           ,1,43,1,0
,,,,,,25037           ,2,8,2,0
,,,,,,25037           ,5,5,5,0
,,,,,,25037           ,10,10,10,0
,,,,,,25037           ,17,17,17,0
,,,,,,25038           ,1,29,1,0
,,,,,,25040           ,2,14,2,0
,,,,,,25040           ,4,4,4,0
,,,,,,25042           ,1,2,1,0
,,,,,,25042           ,3,3,3,0
,,,,,,25042           ,7,7,7,0
,,,,,,25042           ,8,8,8,0
,,,,,,25043           ,1,7,1,0
,,,,,,25043           ,3,3,3,0
,,,,,,25045           ,4,4,4,0
,,,,,,25045           ,20,20,20,0
,,,,,,25045           ,34,34,34,0
,,,,,,25046           ,2,2,2,0
,,,,,,25046           ,10,10,10,0
,,,,,,25046           ,17,17,17,0
,,,,,,25047           ,1,7,1,0
,,,,,,25047           ,10,10,10,0
,,,,,,25049           ,1,6,1,0
,,,,,,25049           ,2,26,2,0
,,,,,,25049           ,5,5,5,0
,,,,,,25051           ,1,8,1,0
,,,,,,25055           ,1,31,1,0
,,,,,,25055           ,3,3,3,0
,,,,,,25060           ,1,3,1,0
,,,,,,25063           ,1,6,1,0
,,,,,,25063           ,3,3,3,0
,,,,,,25115           ,1,4,1,0
